Response 1,Response 2,Score
"Hello, what is the difference between an Executive Room and a Club Room?",Hi I wanna know what's different of these types booking room?,0.48
I have one question concerning the club room: The breakfast will also served on the club tag floor?,"Hello, what is the difference between an Executive Room and a Club Room?",0.479
"Hi, may i know if i book club10 room can i access to Jacuzzi ?",Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,0.479
"Hi, may i know if i book club10 room can i access to Jacuzzi ?","Hello, what is the difference between an Executive Room and a Club Room?",0.479
too expensive,how much is THB 3188 in US dolars?,0.474
How do I receive a meber rate?,daily rate,0.474
meeting room,Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,0.471
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,"Looking for a room big enougt to stay with 3 people, I'll travel from Koh Samui on 29 of september to Bangkok and wil check out on 3 oktober early in the morning can you give me a good rate",0.465
The website won't complete the reservation,"Hi, 
We made a reservation through PEPXpress from June 2 - 4, 2023 on the name of Dina Simulevski.",0.464
the price is much for me,how do I see prices in NZS?,0.463
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,Hi I wanna know what's different of these types booking room?,0.46
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,I only want to book. Not to get a member.,0.459
Is there a discount code for first time customers? I'm not sure if I want to book with Amara or with Conrad.,I only want to book. Not to get a member.,0.455
"Hi, may i know if i book club10 room can i access to Jacuzzi ?",no bathtub in the Executive room?,0.454
Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,Is there a discount code for first time customers? I'm not sure if I want to book with Amara or with Conrad.,0.454
"I received an email for discounts of up to 15% when booking the hotel. However, I think the prices on check24 are the same.",Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,0.452
"Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.","Hello, what is different between Advance Purchase With Breakfast and Best Flexible Rate with Breakfast? Thanks",0.449
meeting room,Hi I wanna know what's different of these types booking room?,0.446
Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,I only want to book. Not to get a member.,0.446
meeting room,"Hi, may i know if i book club10 room can i access to Jacuzzi ?",0.445
"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",I have one question concerning the club room: The breakfast will also served on the club tag floor?,0.445
how much is THB 3188 in US dolars?,too pricey,0.441
is there breakfast,I have one question concerning the club room: The breakfast will also served on the club tag floor?,0.441
"Hi, I have a questuion - when I make a reservation, payment is now or later?",I need to put my Member's Rate Only number,0.439
do you offer corporate rates please,How do I receive a meber rate?,0.436
meeting room,hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,0.435
meeting room,I have one question concerning the club room: The breakfast will also served on the club tag floor?,0.434
do you offer corporate rates please,daily rate,0.429
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,iam struggling to book 3 rooms for next year 29th March 2024 to 31st March 2024 for 5 people,0.426
how much are Taxes & Fees?,not clear on how to apply the offers in the offer tab,0.422
"Hi, I have a questuion - when I make a reservation, payment is now or later?","Hi, 
We made a reservation through PEPXpress from June 2 - 4, 2023 on the name of Dina Simulevski.",0.421
"Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.","Hi, 
We made a reservation through PEPXpress from June 2 - 4, 2023 on the name of Dina Simulevski.",0.418
tell me the final price for a deluxe room 01/23/2024 to 01/25/2024 2 adults 1 child 4 years old,"Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",0.415
hidden fees,"As a customer, sometime I see only 1 price and I don't know how I can open or see more rates",0.414
"Hello, what is the difference between an Executive Room and a Club Room?",no room,0.414
do you offer corporate rates please,not clear on how to apply the offers in the offer tab,0.41
ist breakfast included?,I have one question concerning the club room: The breakfast will also served on the club tag floor?,0.406
I found a cheaper third party rate. Do you price match?,"As a customer, sometime I see only 1 price and I don't know how I can open or see more rates",0.406
do you offer corporate rates please,too pricey,0.406
"Hi, may i know if i book club10 room can i access to Jacuzzi ?",I have one question concerning the club room: The breakfast will also served on the club tag floor?,0.406
I have one question concerning the club room: The breakfast will also served on the club tag floor?,"Hello, what is different between Advance Purchase With Breakfast and Best Flexible Rate with Breakfast? Thanks",0.405
tell me the final price for a deluxe room 01/23/2024 to 01/25/2024 2 adults 1 child 4 years old,too pricey,0.404
The website won't complete the reservation,"Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",0.403
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,"Hello
Is it possible to early check in? We will come to Bangkok about 7 am",0.401
how do I see prices in NZS?,too expensive,0.4
daily rate,"As a customer, sometime I see only 1 price and I don't know how I can open or see more rates",0.4
Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,"Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",0.399
"I received an email for discounts of up to 15% when booking the hotel. However, I think the prices on check24 are the same.","As a customer, sometime I see only 1 price and I don't know how I can open or see more rates",0.397
Good morning,"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",0.397
"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",good morning,0.397
How do I receive a meber rate?,Please explain what club benefits includes,0.396
looking for price for breakfast,too pricey,0.395
"I received an email for discounts of up to 15% when booking the hotel. However, I think the prices on check24 are the same.","Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",0.39
"Hi, I was wondering if there is a possibility for later check out than 12:00 PM, I am talking about paying for staying for example till 8:00 PM, because my flight departs at 11:45 PM","Hello
Is it possible to early check in? We will come to Bangkok about 7 am",0.39
I have one question concerning the club room: The breakfast will also served on the club tag floor?,Please explain what club benefits includes,0.387
